1.督脈 ,,,,,,,
経絡, 経穴,部位 ,要穴 ,筋肉<神経(筋枝)> ,神経(皮枝) ,血管 ,ランク 
手の太陰肺経 ,孔最 ,前腕前外側、[[尺沢と太淵を結ぶ線上]]、手関節掌側横紋の[[上方７寸 ]],【肺経の郄穴】 ,腕橈骨筋<橈骨N>/円回内筋<正中N> ,外側前腕皮N ,橈骨A ,A 
手の太陰肺経 ,列欠 ,前腕橈側、[[長母指外転筋腱と短母指伸筋腱の間]]、手関節掌側横紋の[[上方１寸５分 ]],【肺経の絡穴】 【四総穴/頭項】 【八脈交会穴】 ,腕橈骨筋腱・長母指外転筋腱・短母指伸筋腱<橈骨N> ,外側前腕皮N ,橈骨A ,S 
手の太陰肺経 ,経渠 ,前腕前外側、橈骨下端の橈側で外側に最も突出した部位と橈骨動脈の間、手関節掌側横紋の[[上方１寸 ]],【肺経の経金穴】 ,腕橈骨筋腱・長母指外転筋腱<橈骨N> ,外側前腕皮N ,橈骨A ,B 
手の太陰肺経 ,太淵 ,手関節前外側、橈骨茎状突起と[[舟状骨]]の間、長母指外転筋腱の尺側陥凹部 ,【肺の原穴】 【肺経の兪土穴】 【八会穴の脈会】 , ,外側前腕皮N ,橈骨A ,S 
手の太陰肺経 ,魚際 ,手掌、[[第一中手骨中点の橈側]]、赤白肉際 ,【肺経の滎火穴】 ,短母指外転筋・母指対立筋<正中N> ,橈骨N浅枝 ,母指主Aの枝 ,A 
手の太陰肺経 ,少商 ,母指、末節骨[[橈側]]、爪甲角の近位外方１分(指寸)、爪甲橈側縁の垂線と爪甲基底部の水平線との交点 ,【肺経の井木穴】 , ,橈骨N浅枝 ,母指橈側A・母指主Aの枝 ,S 
4.手の陽明大腸経 ,,,,,,,
経絡,経穴 ,部位 ,要穴 ,筋肉<神経(筋枝)> ,神経(皮枝) ,血管 ,ランク 
手の陽明大腸経,商陽 ,示指、末節骨[[橈側]]、爪甲角の近位外方１分(指寸)、爪甲橈側縁の垂線と爪甲基底部の水平線の交点 ,【大腸経の井金穴】 , ,正中N ,背側指A ,A 
手の陽明大腸経,二間 ,示指、[[第２中手指節関節橈側の遠位]]陥凹部、赤白肉際 ,【大腸経の滎水穴】 ,﻿第1背側骨間筋腱<尺骨N> ,橈骨N浅枝 ,背側指A ,B 
手の陽明大腸経,三間 ,手背、[[第２中手指節関節橈側の近位]]陥凹部 ,【大腸経の兪木穴】 ,﻿第1背側骨間筋腱<尺骨N> ,橈骨N浅枝 ,背側指A ,A 
手の陽明大腸経,合谷 ,手背、[[第２中手骨中点の橈側 ]],【大腸の原穴】 【四総穴/面口】 ,﻿第1背側骨間筋腱<尺骨N> ,橈骨N浅枝 ,第1背側中手A ,S 
手の陽明大腸経,陽渓 ,手関節後外側、手関節背側横紋橈側、橈骨茎状突起の遠位、[[タバコ窩]](橈骨小窩)の陥凹部 ,【大腸経の経火穴】 ,長母指伸筋腱・短母指伸筋腱<橈骨N> ,橈骨N浅枝 ,橈骨A ,A 
手の陽明大腸経,偏歴 ,前腕後外側、[[陽渓と曲池を結ぶ線上]]、手関節背側横紋の[[上方３寸 ]],【大腸経の絡穴】 ,長母指外転筋<骨N> ,外側前腕皮N ,橈骨A ,A 
手の陽明大腸経,温溜 ,前腕後外側、[[陽渓と曲池を結ぶ線上]]、手関節背側横紋の[[上方５寸 ]],【大腸経の郄穴】 ,長橈側手根伸筋・短橈側手根伸筋<橈骨N> ,外側前腕皮N ,橈骨A ,A 
手の陽明大腸経,下廉 ,前腕後外側、[[陽渓と曲池を結ぶ線上]]、肘窩横紋の[[下方４寸 ]], ,長橈側手根伸筋・短橈側手根伸筋<橈骨N> ,外側前腕皮N ,橈骨A ,C 
手の陽明大腸経,上廉 ,前腕後外側、[[陽渓と曲池を結ぶ線上]]、肘窩横紋の[[下方３寸 ]], ,長橈側手根伸筋・短橈側手根伸筋<橈骨N> ,外側前腕皮N ,橈骨A ,C 
手の陽明大腸経,手三里 ,前腕後外側、[[陽渓と曲池を結ぶ線上]]、肘窩横紋の[[下方２寸 ]], ,長橈側手根伸筋・短橈側手根伸筋<橈骨N> ,外側前腕皮N ,橈骨A ,A 
手の陽明大腸経,曲池 ,肘外側、[[尺沢と上腕骨外側上顆]]を結ぶ線上の中点 ,【大腸経の合土穴】 ,長橈側手根伸筋・短橈側手根伸筋<橈骨N> ,外側前腕皮N ,橈側側副A(上腕深Aの枝) ,S 
手の陽明大腸経,肘髎 ,肘後外側、上腕骨外側上顆の上縁、[[外側顆上稜]]の前縁 , ,長橈側手根伸筋<橈骨N> ,下外側上腕皮N/後前腕皮N ,橈側側副A(上腕深Aの枝) ,C 
手の陽明大腸経,手五里 ,上腕外側、[[曲池と肩髃を結ぶ線上]]、肘窩横紋の[[上方３寸 ]], ,上腕三頭筋<橈骨N>/上腕筋<筋皮N> ,下外側上腕皮N/後前腕皮N ,上腕深A ,C 
手の陽明大腸経,臂臑 ,上腕外側、[[三角筋前縁]]、[[曲池の上方７寸 ]], ,三角筋<腋窩N>/上腕二頭筋<筋皮N> ,上外側上腕皮N ,上腕深A(三角筋枝) ,A 
手の陽明大腸経,肩髃 ,肩周囲部、[[肩峰]]外縁の[[前]]端と[[上腕骨大結節の間]]の陥凹部 , ,三角筋<腋窩N> ,鎖骨上N ,胸肩峰A(三角筋枝) ,S 
手の陽明大腸経,巨骨 ,肩周囲部、[[鎖骨]]の肩峰端[[と肩甲棘の間]]の陥凹部 , ,僧帽筋<副N・頸N叢の枝>/棘上筋<肩甲上N> ,鎖骨上N ,肩甲上A ,C 
